,Champion,Role,Patch,Win,Summoner1,Summoner2,Turrets_Killed,Total_Minions_Killed,Total_Jungle_Monsters_Killed,Total_Damage_DealtToChampions,Item0,Item1,Item2,Item3,Item4,Item5,Item6,KDA,Kill_Participation,Damage_Share,Turret_Plates_Taken,Gold_Per_Minute,Damage_Per_Minute,Vision_Score_Per_Minute,Lane_Minions_Before_10_Minutes,Jungle_CS_Before_10_Minutes,Sol_Kills,Barons_Killed,Dragons_Killed,Void_Grubs_Killed,Rift_Heralds_Killed,Defense_Rune,Flex_Rune,Offense_Rune,Primary_Tree,Primary_Keystone,Primary_Choice1,Primary_Choice2,Primary_Choice3,Secondary_Tree,Secondary_Choice1,Secondary_Choice2
0,Malphite,MIDDLE,14.13,False,12,4,0,90,0,7173,1056,3118,3145,3020,2055,0,3340,6.0,0.5454545454545454,0.303270702690832,3,442.5878975809877,513.0541285730759,0.5906438474279883,58,0.0,2,0,0,6,0,5001,5001,5008,8200,8229,8226,8210,8237,8400,8444,8451
0,Zed,MIDDLE,14.13,True,12,4,1,131,0,5360,6699,2031,0,3158,1036,2022,3340,1.0,0.06666666666666667,0.1529366171974413,3,412.47113937667126,349.5644226668477,0.874048073123209,72,0.0,1,0,1,1,0,5001,5008,5008,8300,8369,8304,8313,8347,8200,8210,8237
0,JarvanIV,JUNGLE,14.13,False,11,4,2,15,190,30369,6610,6692,1057,3161,3053,3047,3340,6.5,0.6190476190476191,0.2443039804303593,1,442.3266663489797,810.1129470932168,1.0517164280092297,0,66.00000008940697,0,0,2,6,1,5001,5008,5005,8000,8010,9111,9104,8014,8300,8304,8347
0,Lux,UTILITY,14.13,False,14,4,0,31,0,4263,3871,3145,3020,1052,0,0,3364,1.0,0.25,0.24020524480578612,0,239.69380000087617,274.4474284219166,1.3608335964894875,23,0.0,0,0,0,0,0,5001,5008,5008,8200,8229,8226,8210,8237,8300,8345,8347
0,Gragas,JUNGLE,14.13,False,11,4,0,28,121,13410,2420,3100,3020,4645,0,0,3340,2.0,0.45454545454545453,0.15794226224147556,0,356.00597251589295,492.39998391400377,1.156233295211462,0,60.00000008940697,1,0,2,0,0,5001,5008,5008,8200,8230,8275,8234,8232,8300,8304,8347
0,Zed,MIDDLE,14.13,True,12,4,3,233,5,40168,6698,6699,6692,3111,3814,3035,3340,6.666666666666667,0.4878048780487805,0.3300659366083629,3,544.9238311475327,1353.4925394833842,0.9745489031268318,65,0.0,2,0,1,4,0,5001,5008,5008,8300,8369,8304,8313,8347,8200,8210,8237
0,LeeSin,JUNGLE,14.13,False,11,4,0,7,83,6192,0,2021,6692,3047,0,0,3513,0.5,0.25,0.16922549822360386,0,316.0895809613826,322.1553363532694,0.8782953102542792,0,66.00000008940697,1,0,0,4,1,5001,5008,5005,8000,8010,9111,9105,8299,8300,8304,8347
0,Garen,JUNGLE,14.13,False,11,4,0,8,63,2535,3077,3006,3044,2022,1042,1102,3364,1.0,0.2857142857142857,0.11019554222684691,0,306.26685833862217,165.99395785548597,0.6772623686669574,6,59.00000008940697,0,0,0,4,0,5001,5008,5005,8000,8010,9111,9105,8299,8200,8275,8234
0,Aatrox,JUNGLE,14.13,False,11,4,0,11,93,3926,3047,6610,2021,2055,0,0,3364,0.5,0.2,0.10316761917163339,0,301.2345858117056,190.6077122894367,0.5551356348544432,0,56.8500000834465,0,0,1,2,0,5001,5008,5008,8000,8010,9111,9105,8299,8100,8143,8135
0,Zed,TOP,14.13,True,12,4,1,128,3,6369,1054,6699,3158,1037,0,0,3340,4.0,0.3076923076923077,0.21532372948718972,4,467.2111302504032,403.4635288541924,1.030912514812811,90,0.0,2,0,0,5,1,5001,5008,5008,8100,8112,8139,8138,8106,8200,8210,8237
